!!
!!
!!number of shells (1), number of material cross-section properties (2)
1 1 1
!!
!!
!!1st shell: number of nodes (1), number of elements (2).	
372 360
!!
!!
!!1st shell: nodal phi (1, 2, 3), nodal d (4, 5, 6).
0.090000	0.000000	0.000000	1.000000	0.000000	0.000000
0.000000	0.090000	0.000000	0.000000	1.000000	0.000000
0.077942	0.045000	0.000000	0.866025	0.500000	0.000000
0.045000	0.077942	0.000000	0.500000	0.866025	0.000000
0.000000	0.090000	2.000000	0.000000	1.000000	0.000000
0.000000	0.090000	0.066667	0.000000	1.000000	0.000000
0.000000	0.090000	0.133330	0.000000	1.000000	0.000000
0.000000	0.090000	0.200000	0.000000	1.000000	0.000000
0.000000	0.090000	0.266670	0.000000	1.000000	0.000000
0.000000	0.090000	0.333330	0.000000	1.000000	0.000000
0.000000	0.090000	0.400000	0.000000	1.000000	0.000000
0.000000	0.090000	0.466670	0.000000	1.000000	0.000000
0.000000	0.090000	0.533330	0.000000	1.000000	0.000000
0.000000	0.090000	0.600000	0.000000	1.000000	0.000000
0.000000	0.090000	0.666670	0.000000	1.000000	0.000000
0.000000	0.090000	0.733330	0.000000	1.000000	0.000000
0.000000	0.090000	0.800000	0.000000	1.000000	0.000000
0.000000	0.090000	0.866670	0.000000	1.000000	0.000000
0.000000	0.090000	0.933330	0.000000	1.000000	0.000000
0.000000	0.090000	1.000000	0.000000	1.000000	0.000000
0.000000	0.090000	1.066700	0.000000	1.000000	0.000000
0.000000	0.090000	1.133300	0.000000	1.000000	0.000000
0.000000	0.090000	1.200000	0.000000	1.000000	0.000000
0.000000	0.090000	1.266700	0.000000	1.000000	0.000000
0.000000	0.090000	1.333300	0.000000	1.000000	0.000000
0.000000	0.090000	1.400000	0.000000	1.000000	0.000000
0.000000	0.090000	1.466700	0.000000	1.000000	0.000000
0.000000	0.090000	1.533300	0.000000	1.000000	0.000000
0.000000	0.090000	1.600000	0.000000	1.000000	0.000000
0.000000	0.090000	1.666700	0.000000	1.000000	0.000000
0.000000	0.090000	1.733300	0.000000	1.000000	0.000000
0.000000	0.090000	1.800000	0.000000	1.000000	0.000000
0.000000	0.090000	1.866700	0.000000	1.000000	0.000000
0.000000	0.090000	1.933300	0.000000	1.000000	0.000000
0.090000	0.000000	2.000000	1.000000	0.000000	0.000000
0.077942	0.045000	2.000000	0.866025	0.500000	0.000000
0.045000	0.077942	2.000000	0.500000	0.866025	0.000000
0.090000	0.000000	0.066667	1.000000	0.000000	0.000000
0.090000	0.000000	0.133330	1.000000	0.000000	0.000000
0.090000	0.000000	0.200000	1.000000	0.000000	0.000000
0.090000	0.000000	0.266670	1.000000	0.000000	0.000000
0.090000	0.000000	0.333330	1.000000	0.000000	0.000000
0.090000	0.000000	0.400000	1.000000	0.000000	0.000000
0.090000	0.000000	0.466670	1.000000	0.000000	0.000000
0.090000	0.000000	0.533330	1.000000	0.000000	0.000000
0.090000	0.000000	0.600000	1.000000	0.000000	0.000000
0.090000	0.000000	0.666670	1.000000	0.000000	0.000000
0.090000	0.000000	0.733330	1.000000	0.000000	0.000000
0.090000	0.000000	0.800000	1.000000	0.000000	0.000000
0.090000	0.000000	0.866670	1.000000	0.000000	0.000000
0.090000	0.000000	0.933330	1.000000	0.000000	0.000000
0.090000	0.000000	1.000000	1.000000	0.000000	0.000000
0.090000	0.000000	1.066700	1.000000	0.000000	0.000000
0.090000	0.000000	1.133300	1.000000	0.000000	0.000000
0.090000	0.000000	1.200000	1.000000	0.000000	0.000000
0.090000	0.000000	1.266700	1.000000	0.000000	0.000000
0.090000	0.000000	1.333300	1.000000	0.000000	0.000000
0.090000	0.000000	1.400000	1.000000	0.000000	0.000000
0.090000	0.000000	1.466700	1.000000	0.000000	0.000000
0.090000	0.000000	1.533300	1.000000	0.000000	0.000000
0.090000	0.000000	1.600000	1.000000	0.000000	0.000000
0.090000	0.000000	1.666700	1.000000	0.000000	0.000000
0.090000	0.000000	1.733300	1.000000	0.000000	0.000000
0.090000	0.000000	1.800000	1.000000	0.000000	0.000000
0.090000	0.000000	1.866700	1.000000	0.000000	0.000000
0.090000	0.000000	1.933300	1.000000	0.000000	0.000000
0.077942	0.045000	0.066667	0.866025	0.500000	0.000000
0.077942	0.045000	0.133330	0.866025	0.500000	0.000000
0.077942	0.045000	0.200000	0.866025	0.500000	0.000000
0.077942	0.045000	0.266670	0.866025	0.500000	0.000000
0.077942	0.045000	0.333330	0.866025	0.500000	0.000000
0.077942	0.045000	0.400000	0.866025	0.500000	0.000000
0.077942	0.045000	0.466670	0.866025	0.500000	0.000000
0.077942	0.045000	0.533330	0.866025	0.500000	0.000000
0.077942	0.045000	0.600000	0.866025	0.500000	0.000000
0.077942	0.045000	0.666670	0.866025	0.500000	0.000000
0.077942	0.045000	0.733330	0.866025	0.500000	0.000000
0.077942	0.045000	0.800000	0.866025	0.500000	0.000000
0.077942	0.045000	0.866670	0.866025	0.500000	0.000000
0.077942	0.045000	0.933330	0.866025	0.500000	0.000000
0.077942	0.045000	1.000000	0.866025	0.500000	0.000000
0.077942	0.045000	1.066700	0.866025	0.500000	0.000000
0.077942	0.045000	1.133300	0.866025	0.500000	0.000000
0.077942	0.045000	1.200000	0.866025	0.500000	0.000000
0.077942	0.045000	1.266700	0.866025	0.500000	0.000000
0.077942	0.045000	1.333300	0.866025	0.500000	0.000000
0.077942	0.045000	1.400000	0.866025	0.500000	0.000000
0.077942	0.045000	1.466700	0.866025	0.500000	0.000000
0.077942	0.045000	1.533300	0.866025	0.500000	0.000000
